system:index,area,bacia,classe,year,.geo
0,1208106.745553483,7613,0,1996,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1,211341.0159325226,7613,1,1996,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2,305145.1326082684,7613,2,1996,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
