system:index,area,bacia,classe,year,.geo
0,1330787.7727409087,7612,1,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1,78108.87544386619,7612,2,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2,121814.92243772073,7612,3,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3,140068.76972446093,7612,4,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4,17834.33274613787,7612,5,1992,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
