system:index,area,bacia,classe,year,.geo
0,1817392.658792939,771,1,2005,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1,159517.87173187017,771,2,2005,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2,145049.23455660098,771,3,2005,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3,106591.11897439786,771,4,2005,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4,19768.487254101678,771,5,2005,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
