system:index,area,bacia,classe,month,year,.geo
0,35753.04545135568,758,0,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1,4472.087142713343,758,1,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2,5431.256906724887,758,2,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3,1821246.8824724683,758,3,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4,10085.54099205031,758,4,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
