system:index,area,bacia,classe,year,.geo
0,1334947.1295618066,7612,1,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1,80003.9447214612,7612,2,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2,115735.01963344029,7612,3,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3,140120.79470491412,7612,4,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4,17807.784471490937,7612,5,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
