system:index,area,bacia,classe,month,year,.geo
0,80676.73969651725,7614,0,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1,1863.355491347635,7614,1,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2,2008.7174449725483,7614,2,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3,1280802.428859713,7614,3,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4,6707.10886891213,7614,4,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
