system:index,area,bacia,classe,year,.geo
0,1609423.7103458452,7422,1,1994,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1,142539.19433253488,7422,2,1994,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2,114350.92460133911,7422,3,1994,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3,121887.69795990846,7422,4,1994,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4,16102.53630466742,7422,5,1994,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
