system:index,area,bacia,classe,month,year,.geo
0,59771.50385252602,757,0,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1,18161.058255137385,757,1,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2,22459.92604000162,757,2,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3,2568037.2137114285,757,3,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4,16435.691306925422,757,4,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
