system:index,area,bacia,classe,year,.geo
0,778271.017284075,7421,0,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1,100491.0958314658,7421,1,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2,44806.86497243171,7421,2,1991,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
