system:index,area,bacia,classe,month,year,.geo
0,39343.099634489154,7742,0,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1,1653.7780729376768,7742,1,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2,1786.5619876419375,7742,2,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3,1831313.934777195,7742,3,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4,4446.288847684865,7742,4,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
