system:index,area,bacia,classe,month,year,.geo
0,22354.055836603286,759,0,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1,2471.460423172917,759,1,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2,3485.2218826031826,759,2,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3,1362081.67228438,759,3,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4,5766.889023936902,759,4,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
