system:index,area,bacia,classe,year,.geo
0,795.6481131521182,777,1,2020,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1,175.5562975845157,777,2,2020,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2,242.80091022621363,777,3,2020,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3,54.58286863317151,777,4,2020,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4,71.2320015659466,777,5,2020,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
