system:index,area,bacia,classe,month,year,.geo
0,114499.8277442029,772,0,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1,3626.72168944262,772,1,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2,5112.001662837549,772,2,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3,3355921.833417784,772,3,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4,9527.518485961447,772,4,11,2023,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
