"","1. Floresta (2022)","2. Formação Natural não Florestal (2022)","3. Agropecuária (2022)","4. Área não Vegetada (2022)","5. Corpo D`água (2022)","6. Não observado (2022)","Total (2022)"
"1. Floresta (1985)","40705169.10704313","783702.8055343297","10866585.300856441","131669.03629062462","84429.0496006836","5.933124951171875","52571561.232450165"
"2. Formação Natural não Florestal (1985)","822321.2479748811","1603681.6525039868","897189.2281513251","40158.63729109491","13941.199375829983","","3377291.965297118"
"3. Agropecuária (1985)","5191800.547176526","546598.6691609145","21972605.766884584","358880.0006686392","105405.6686151908","1.1453936645507812","28175291.79789952"
"4. Área não Vegetada (1985)","93235.51382670333","83008.5685425594","314629.9441020449","517849.87741856906","37447.31332240606","5.088059680175781","1046176.3052719629"
"5. Corpo D`água (1985)","126318.61164667943","14241.322407293696","173272.75404065655","11814.831816168218","767841.4802101663","0.71240185546875","1093489.7125228196"
"6. Não observado (1985)","0.624596630859375","","0.7143408447265625","2.410346014404297","13.913978564453124","112.29898265991211","129.96224471435548"
"Total (1985)","46938845.65226456","3031233.018149084","34224283.70837589","1060374.7938311105","1009078.6251028412","125.1779628112793","86263940.97568631"
