system:index,area,bacia,classe,year,.geo
0,19703.02604652713,741,1,2000,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1,16491.758447721764,741,2,2000,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2,6768.038052461761,741,3,2000,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
