system:index,area,bacia,classe,year,.geo
0,4221.562973754964,741,1,1999,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1,8140.333628661956,741,2,1999,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2,3474.3224677773064,741,3,1999,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
