system:index,area,bacia,classe,year,.geo
0,69063.54181225758,776,1,1996,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1,8679.57676455364,776,2,1996,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2,86411.03130694937,776,3,1996,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
