system:index,area,bacia,classe,year,.geo
0,370.38702890467096,778,1,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1,5.480949460138063,778,2,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2,224.1853619792158,778,3,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
