system:index,area,bacia,classe,year,.geo
0,1447134.2020530126,776,1,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1,123896.39894559281,776,2,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2,145872.8748153075,776,3,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
