system:index,area,class,col7,col8,territory,.geo
0_0_0,615864.6841524424,304,3,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,39.73411851806638,309,3,9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,17124.232768652324,312,3,12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,294476.2577167363,321,3,21,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,3693.7737955078023,322,3,22,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,19.612951049804675,330,3,30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,6352.904197906497,333,3,33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,823803.4162035448,403,4,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,73.7696016845703,409,4,9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,1038376.7009201042,412,4,12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,5027635.351256943,421,4,21,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,24064.933673553445,422,4,22,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,145.63176829223625,430,4,30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,41936.875053216485,433,4,33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,0.17420032348632813,903,9,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_15,0.969017724609375,904,9,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_16,168.04497416992214,921,9,21,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_17,0.08857033081054687,922,9,22,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_18,0.08857033081054687,933,9,33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_19,35268.96112149657,1203,12,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_20,953623.999482098,1204,12,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_21,2.992590374755859,1209,12,9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_22,1197225.975355899,1221,12,21,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_23,69125.43048485766,1222,12,22,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_24,10.603090124511718,1230,12,30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_25,5827.923294158933,1233,12,33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_26,61355.95091441684,2103,21,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_27,1495563.053140279,2104,21,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_28,250.8611505493178,2109,21,9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_29,331159.4970506014,2112,21,12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_30,175344.21874099722,2122,21,22,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_31,114.08867777099611,2130,21,30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_32,37118.21332294925,2133,21,33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_33,5248.520582556149,2203,22,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_34,20869.699018365467,2204,22,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_35,0.6150403137207032,2209,22,9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_36,54152.19200566446,2212,22,12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_37,583818.9850241938,2221,22,21,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_38,111.66756039428701,2230,22,30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_39,28884.203406988832,2233,22,33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_40,8.61891484375,3003,30,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_41,31.23916157226563,3004,30,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_42,12.995688006591799,3012,30,12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_43,34.646638366699214,3021,30,21,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_44,4.230102954101563,3022,30,22,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_45,9121.357569555681,3030,30,30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_46,0.7074758361816407,3033,30,33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_47,828.9914879394543,3303,33,3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_48,1678.727994305419,3304,33,4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_49,750.9572592651375,3312,33,12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_50,3143.7874849731447,3321,33,21,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_51,331.90991704101566,3322,33,22,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_52,2.667964819335938,3330,33,30,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_53,761499.3827826267,3333,33,33,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
