system:index,CLASS_2000,CLASS_2010,CLASS_2012,CLASS_2014,CLASS_2016,CLASS_2018,CLASS_2020,LAT,LON,PESO_AMOS,bacia,classification_2000,classification_2010,classification_2012,classification_2014,classification_2016,classification_2018,classification_2020,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000460d_0,4,4,4,4,4,4,4,-41.5045399,-4.094878242,376488.441665494,741,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.5044568302964,-4.094835475366221]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004712_0,4,4,4,4,4,4,4,-41.10622691,-4.18057752,376488.441665494,741,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.10614383331781,-4.180534753471224]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000047fd_0,4,4,4,4,4,4,4,-40.98737979,-3.908118494,642926.727352927,741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-40.987296721228795,-3.9080757277977725]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004808_0,4,4,4,4,4,4,4,-41.82577745,-3.14733528,642926.727352927,741,3,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.82569437589754,-3.1472925136769496]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004849_0,4,4,4,4,4,4,4,-41.81230272,-2.837416507,642926.727352927,741,4,4,4,4,4,4,33,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.81221964663575,-2.837373740655715]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000048ab_0,4,4,4,4,4,4,4,-41.27978142,-3.8978777,642926.727352927,741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.2796983462097,-3.8978349335588103]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000004998_0,4,4,4,4,4,4,4,-41.27654748,-3.656680046,642926.727352927,741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.276464411186865,-3.6566372797727187]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000049b3_0,4,4,4,4,4,4,4,-41.33772275,-3.695217772,642926.727352927,741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.33763968203541,-3.695175005461446]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000049c1_0,4,4,4,4,4,4,4,-41.28355434,-3.542683837,642926.727352927,741,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.283471270403,-3.542641070217951]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000049e6_0,4,4,4,4,4,4,4,-41.45091048,-3.536215967,642926.727352927,741,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-41.45082740783447,-3.5361732001722905]}"
