system:index,area,class,territory,year,.geo
3_7_0,0.0017857496337890626,2,15,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8_0,4353.475091680614,1,16,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8_1,114451.69063985778,2,16,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_0,8788.370636888068,1,17,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_1,140085.6712955225,2,17,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_10_0,3408.4107862930614,1,18,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_10_1,47345.35654856761,2,18,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_11_0,3383.9902255337074,1,19,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_11_1,48980.99318599947,2,19,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_12_0,5084.420388305147,1,20,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_12_1,77516.13239570291,2,20,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_13_0,786.6183879966424,1,21,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_13_1,12429.495226051396,2,21,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_14_0,742.0817081851161,1,22,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_14_1,11403.396595834523,2,22,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_15_0,16906.379963500574,1,23,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_15_1,334540.81390645955,2,23,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_16_0,1050.5153196528329,1,24,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_16_1,31592.69385539211,2,24,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_0,0.0017857496337890626,2,15,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_0,4322.904380441662,1,16,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_1,114482.26135109662,2,16,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9_0,8935.03530378659,1,17,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9_1,139939.00662862454,2,17,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_10_0,3339.6768887337344,1,18,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_10_1,47414.090446125985,2,18,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_11_0,3248.3370522284417,1,19,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_11_1,49116.64635930507,2,19,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_12_0,5198.697725450085,1,20,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_12_1,77401.85505855845,2,20,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_13_0,791.278921295408,1,21,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_13_1,12424.834692752476,2,21,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_14_0,762.087871754515,1,22,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_14_1,11383.390432264201,2,22,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_15_0,18570.763841273183,1,23,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_15_1,332876.4300286858,2,23,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_16_0,1111.9345486574716,1,24,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_16_1,31531.274626387552,2,24,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_7_0,0.0017857496337890626,2,15,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_8_0,4479.451790171713,1,16,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_8_1,114325.71394136784,2,16,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9_0,8673.162207157024,1,17,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9_1,140200.87972525455,2,17,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_10_0,3359.593984321025,1,18,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_10_1,47394.173350538906,2,18,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_11_0,3610.061425162467,1,19,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_11_1,48754.92198637152,2,19,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_12_0,4933.072128403168,1,20,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_12_1,77667.48065560583,2,20,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_13_0,787.5429757879617,1,21,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_13_1,12428.570638260197,2,21,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_14_0,626.1163546537441,1,22,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_14_1,11519.361949365302,2,22,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_15_0,17851.361064390556,1,23,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_15_1,333595.8328055678,2,23,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_16_0,1113.5501205102555,1,24,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_16_1,31529.659054534717,2,24,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_7_0,0.0017857496337890626,2,15,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_8_0,4273.837632286446,1,16,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_8_1,114531.3280992527,2,16,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_9_0,9091.727891342123,1,17,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
