,CLASS_2000,CLASS_2010,CLASS_2012,CLASS_2014,CLASS_2016,CLASS_2018,CLASS_2020,LAT,LON,PESO_AMOS,bacia,classification_2000,classification_2010,classification_2012,classification_2014,classification_2016,classification_2018,classification_2020,latitude,longitude,coord_lat,refIBGE_2000,refIBGE_2010,refIBGE_2012,refIBGE_2014,refIBGE_2016,refIBGE_2018,refIBGE_2020
18,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.28355434,-3.542683837,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.542641070217951,-41.283471270403,-41.283471270403,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.45091048,-3.536215967,642926.727352927,741.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,-3.5361732001722905,-41.45082740783447,-41.45082740783447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.45252745,-3.539449902,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.539407135195121,-41.452444375345884,-41.45244437534588,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.41695416,-3.476118674,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.4760759076646948,-41.41687109009475,-41.41687109009475,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,4.0,18.0,18.0,18.0,18.0,18.0,18.0,-41.03130741,-3.867694307,642926.727352927,741.0,4.0,21.0,21.0,21.0,21.0,21.0,21.0,-3.8676515400123943,-41.03122433862224,-41.03122433862224,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,15.0,15.0,15.0,15.0,15.0,15.0,15.0,-41.08817077,-3.879552068,642926.727352927,741.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,-3.8795093017627718,-41.088087696107,-41.088087696107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,4.0,15.0,15.0,15.0,15.0,15.0,15.0,-41.40186247,-3.414673909,642926.727352927,741.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,-3.4146311422309195,-41.40177939332154,-41.40177939332154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,15.0,15.0,15.0,15.0,15.0,15.0,15.0,-41.26199478,-4.148507664,376488.441665494,741.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,-4.148464897828156,-41.26191170358413,-41.26191170358413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,15.0,15.0,15.0,15.0,15.0,15.0,15.0,-41.67486048,-4.415037809,376488.441665494,741.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,-4.414995042626419,-41.67477740816546,-41.67477740816546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.56113377,-3.555080588,642926.727352927,741.0,4.0,21.0,21.0,21.0,21.0,21.0,21.0,-3.5550378211388005,-41.56105069319593,-41.56105069319593,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,15.0,15.0,15.0,15.0,15.0,15.0,15.0,-41.46061228,-3.994087267,642926.727352927,741.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,-3.9940445004880107,-41.460529212902955,-41.46052921290296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,15.0,15.0,15.0,15.0,15.0,15.0,15.0,-41.43258485,-3.575292682,642926.727352927,741.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,-3.57524991503149,-41.43250177603843,-41.43250177603843,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,15.0,15.0,15.0,15.0,15.0,4.0,4.0,-41.23423683,-3.518968313,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.518925546717196,-41.23415376130484,-41.23415376130484,0.0,0.0,0.0,0.0,0.0,1.0,1.0
31,10.0,10.0,10.0,10.0,10.0,10.0,10.0,-41.32451752,-4.252802069,376488.441665494,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-4.252759302314433,-41.32443444735885,-41.32443444735885,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-41.42908142,-3.879282574,642926.727352927,741.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,-3.879239807177536,-41.42899834643036,-41.42899834643036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.26846265,-4.33634539,376488.441665494,741.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-4.336302623737549,-41.268379573629794,-41.26837957362979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.18734478,-3.890331852,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.8902890851722063,-41.1872617034738,-41.1872617034738,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.29649008,-3.656141057,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.656098290602247,-41.29640701049432,-41.29640701049432,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.03750579,-3.926983115,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.9269403487642824,-41.03742271408266,-41.03742271408266,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.27789496,-4.078708567,376488.441665494,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-4.07866580025207,-41.27781188411305,-41.27781188411305,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.38973521,-4.030469036,376488.441665494,741.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-4.030426269494852,-41.38965213698593,-41.38965213698593,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.2207621,-4.202406581,376488.441665494,741.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-4.202363814875328,-41.220679032043044,-41.22067903204304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.4298899,-4.308587448,376488.441665494,741.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-4.3085446814582555,-41.42980683018607,-41.42980683018607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.17063611,-4.072779686,376488.441665494,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-4.072736919376881,-41.17055303918917,-41.17055303918917,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.23396734,-3.6739277,642926.727352927,741.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-3.6738849332278134,-41.2338842667196,-41.2338842667196,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-41.06741968,-4.0671203,376488.441665494,741.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,-4.067077533086928,-41.06733661304384,-41.06733661304384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
