system:index,area,class,territory,year,.geo
3_7_0,0.0017857496337890626,1,15,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8_0,50326.42949402964,1,16,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_8_1,68478.73623751012,2,16,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_0,67363.897332801,1,17,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_9_1,81510.14459960534,2,17,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_10_0,20333.99926832386,1,18,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_10_1,30419.768066542307,2,18,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_11_0,22308.076819501992,1,19,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_11_1,30056.906592027543,2,19,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_12_0,31808.49397745172,1,20,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_12_1,50792.05880655591,2,20,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_13_0,5261.676129859062,1,21,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_13_1,7954.43748418963,2,21,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_14_0,2674.7917078976684,1,22,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_14_1,9470.686596121239,2,22,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_15_0,166071.0230339238,1,23,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_15_1,185376.170836047,2,23,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_16_0,16370.987067103333,1,24,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_16_1,16272.22210793305,2,24,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_0,0.0017857496337890626,1,15,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_0,50397.135974307836,1,16,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_1,68408.02975723089,2,16,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9_0,66896.46912000127,1,17,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9_1,81977.57281240326,2,17,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_10_0,20312.238249765647,1,18,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_10_1,30441.52908510059,2,18,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_11_0,22585.51378762055,1,19,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_11_1,29779.469623909576,2,19,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_12_0,31477.90120653306,1,20,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_12_1,51122.651577475146,2,20,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_13_0,5193.224462073402,1,21,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_13_1,8022.889151975604,2,21,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_14_0,2665.8404843875837,1,22,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_14_1,9479.637819631069,2,22,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_15_0,167542.19237034366,1,23,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_15_1,183905.00149962943,2,23,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_16_0,15687.42223882881,1,24,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_16_1,16955.786936208264,2,24,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_7_0,0.0017857496337890626,1,15,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_8_0,51105.93779098299,1,16,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_8_1,67699.22794055684,2,16,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9_0,67878.78604089239,1,17,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_9_1,80995.2558915125,2,17,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
