,CLASS_1985,CLASS_1986,CLASS_1987,CLASS_1988,CLASS_1989,CLASS_1990,CLASS_1991,CLASS_1992,CLASS_1993,CLASS_1994,CLASS_1995,CLASS_1996,CLASS_1997,CLASS_1998,CLASS_1999,CLASS_2000,CLASS_2001,CLASS_2002,CLASS_2003,CLASS_2004,CLASS_2005,CLASS_2006,CLASS_2007,CLASS_2008,CLASS_2009,CLASS_2010,CLASS_2011,CLASS_2012,CLASS_2013,CLASS_2014,CLASS_2015,CLASS_2016,CLASS_2017,CLASS_2018,CLASS_2019,CLASS_2020,CLASS_2021,CLASS_2022,LAT,LON,PESO_AMOS,classification_1985,classification_1986,classification_1987,classification_1988,classification_1989,classification_1990,classification_1991,classification_1992,classification_1993,classification_1994,classification_1995,classification_1996,classification_1997,classification_1998,classification_1999,classification_2000,classification_2001,classification_2002,classification_2003,classification_2004,classification_2005,classification_2006,classification_2007,classification_2008,classification_2009,classification_2010,classification_2011,classification_2012,classification_2013,classification_2014,classification_2015,classification_2016,classification_2017,classification_2018,classification_2019,classification_2020,classification_2021,classification_2022,latitude,longitude,coord_lat,refCC_1985,refCC_1986,refCC_1987,refCC_1988,refCC_1989,refCC_1990,refCC_1991,refCC_1992,refCC_1993,refCC_1994,refCC_1995,refCC_1996,refCC_1997,refCC_1998,refCC_1999,refCC_2000,refCC_2001,refCC_2002,refCC_2003,refCC_2004,refCC_2005,refCC_2006,refCC_2007,refCC_2008,refCC_2009,refCC_2010,refCC_2011,refCC_2012,refCC_2013,refCC_2014,refCC_2015,refCC_2016,refCC_2017,refCC_2018,refCC_2019,refCC_2020,refCC_2021,refCC_2022,refIBGE_2000,refIBGE_2010,refIBGE_2012,refIBGE_2014,refIBGE_2016,refIBGE_2018,refIBGE_2020
0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-43.56805994,-15.00536652,577269.117194877,48,48,48,48,48,48,48,48,48,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,-15.005325414051777,-43.56797681617091,-43.56797681617091,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-40.83026445,-2.89401037,642926.727352927,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-2.893965501888482,-40.83018241047727,-40.83018241047727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-37.77796878,-4.446299181,658364.794016662,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-4.446254383310902,-37.777887607484075,-37.77788760748408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-36.52454946,-5.108177882,658364.794016662,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-5.108136589078086,-36.52446551506782,-36.52446551506782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-39.22677167,-3.260792501,642926.727352927,23,23,23,23,23,23,23,23,23,23,23,23,25,25,25,25,25,25,25,25,25,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,-3.260748859039673,-39.22668967165812,-39.22668967165812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-40.92000615,-2.887003511,642926.727352927,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,25,25,23,23,23,23,23,23,23,23,23,23,23,23,-2.886960254133518,-40.91992181917786,-40.91992181917786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-40.6138603,-2.856820117,642926.727352927,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,-2.8567765991027434,-40.61377777725248,-40.61377777725248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-40.46887221,-2.819090875,642926.727352927,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,-2.8190481450895377,-40.46879010649969,-40.46879010649969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-40.44758214,-9.372929694,526677.309435365,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,-9.372887723109526,-40.44749789896948,-40.44749789896948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,18,18,18,18,18,18,18,18,18,4,4,4,4,4,4,18,18,18,18,18,18,18,4,4,18,27,4,4,18,18,18,18,18,18,18,18,18,4,-38.17170037,-5.004152972,658364.794016662,48,48,48,48,48,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,21,4,4,4,4,4,4,4,4,4,4,-5.004110220602248,-38.171617312301244,-38.17161731230124,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
